% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250       124.65840      0.15585096       15294.819
0.250       126.66902      0.15362152       15817.342
0.250       128.67964      0.15246830       16458.084
0.250       132.70087      0.14347267       16984.814
0.250       136.72211      0.14035302       18172.233
0.250       140.74335      0.13660307       19293.650
0.250       144.76459      0.13501692       20751.309
0.250       148.78583      0.13031010       21743.680
0.250       152.80707      0.12575552       22731.475
0.250       156.82831      0.12149028       23740.241
0.250       160.84954      0.11943365       25180.042
0.250       164.87078      0.11650601       26451.461
0.250       168.89202      0.11306713       27595.231
0.250       172.91326      0.11123970       29134.996
0.250       176.93450      0.10775429       30237.257
0.250       180.95574      0.10529623       31608.228
0.250       184.97698      0.10379623       33281.650
0.250       188.99821      0.10095887       34529.305
0.250       193.01945     0.097460105       35505.888
0.250       197.04069     0.097155106       37653.353
0.250       201.06193     0.096272482       39642.585
0.250       205.08317     0.092931786       40609.215
0.250       209.10441     0.089644394       41522.448
0.250       213.12565     0.089444590       43866.347
0.250       217.14688     0.086329575       44780.678
0.250       221.16812     0.086095378       47186.492
0.250       225.18936     0.084594938       48939.355
0.250       229.21060     0.082228808       50164.715
0.250       233.23184     0.080535563       51763.242
0.250       237.25308     0.079148690       53548.776
0.250       241.27432     0.077511167       55152.832
0.250       245.29555     0.076238691       57005.232
0.250       249.31679     0.074754413       58689.673
0.250       253.33803     0.074382358       61269.082
0.250       257.35927     0.073336015       63329.640
0.250       265.40175     0.069494410       65815.997
0.250       273.44422     0.066896844       69291.849
0.250       281.48670     0.067161317       75886.253
0.250       289.52918     0.064031645       78730.305
0.250       297.57166     0.061664629       82315.396
0.250       305.61413     0.059568853       86140.979
0.250       313.65661     0.057681023       90170.930
0.250       321.69909     0.056265643       94899.306
0.250       329.74156     0.054095063       98253.713
0.250       337.78404     0.053232724       103936.08
0.250       345.82652     0.050065431       104901.84
0.250       353.86900     0.049251143       110564.09
0.250       361.91147     0.048271918       115923.60
0.250       369.95395     0.046370506       118947.44
0.250       377.99643     0.045843219       125432.03
0.250       386.03891     0.043830901       127744.99
0.250       394.08138     0.043249258       134093.18
0.250       402.12386     0.042172850       138925.75
0.250       410.16634     0.041163409       143900.28
0.250       418.20881     0.039745035       147276.24
0.250       426.25129     0.038476403       150959.98
0.250       434.29377     0.037773091       156748.57
0.250       442.33625     0.036524966       160146.58
0.250       450.37872     0.035183671       162833.97
0.250       458.42120     0.034962941       170636.64
0.250       466.46368     0.033567191       172599.19
0.250       474.50615     0.032625364       176583.93
0.250       482.54863     0.032554913       185314.78
0.250       490.59111     0.031643404       189283.37
0.250       498.63359     0.030728623       193000.28
0.250       506.67606     0.029876357       196874.31
0.250       514.71854     0.029149464       201377.18
0.375     0.062831853       1733.3776     0.021782265
0.375      0.12566371       2683.8676      0.26981180
0.375      0.18849556       1068.9355      0.36268128
0.375      0.25132741       833.47015      0.67031647
0.375      0.31415927       591.74439      0.92950991
0.375      0.37699112       445.80553       1.2100660
0.375      0.43982297       360.21442       1.5526196
0.375      0.50265482       312.23588       2.0089199
0.375      0.56548668       260.34480       2.3849886
0.375      0.62831853       238.65068       2.9989729
0.375      0.69115038       215.67738       3.6073851
0.375      0.75398224       193.95694       4.2117145
0.375      0.81681409       181.87553       5.0212770
0.375      0.87964594       169.06790       5.8298197
0.375      0.94247780       156.45391       6.6354452
0.375       1.0053096       144.24499       7.4245573
0.375       1.0681415       134.45756       8.3012186
0.375       1.1309734       119.93565       8.7897325
0.375       1.1938052       121.19048       10.445739
0.375       1.2566371       109.31586       10.989629
0.375       1.3194689       107.82361       12.548205
0.375       1.3823008       103.57078       13.858466
0.375       1.4451326       98.823810       15.109670
0.375       1.5079645       90.703778       15.756834
0.375       1.5707963       87.684522       17.216816
0.375       1.6336282       83.533284       18.449707
0.375       1.6964600       77.548334       19.181105
0.375       1.7592919       76.224122       21.026955
0.375       1.8221237       71.920342       22.042234
0.375       1.8849556       70.640465       23.967745
0.375       1.9477874       68.120292       25.501836
0.375       2.0106193       65.576595       27.002791
0.375       2.0734512       62.391399       28.175810
0.375       2.1362830       59.099988       29.189994
0.375       2.1991149       57.399408       30.925833
0.375       2.2619467       54.914941       32.196442
0.375       2.3247786       52.909163       33.677972
