% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250       1.6336282       104.68305       23.120981
0.250       1.6964600       97.349004       24.078680
0.250       1.7592919       94.629919       26.104322
0.250       1.8221237       89.659393       27.478920
0.250       1.8849556       88.018346       29.863921
0.250       1.9477874       84.660536       31.693920
0.250       2.0106193       81.001553       33.354401
0.250       2.0734512       78.566990       35.480669
0.250       2.1362830       74.618816       36.854877
0.250       2.1991149       71.678384       38.619105
0.250       2.2619467       69.964187       41.019764
0.250       2.3247786       66.727205       42.473492
0.250       2.3876104       64.569166       44.523145
0.250       2.4504423       61.688288       45.983964
0.250       2.5132741       59.721712       48.031050
0.250       2.5761060       56.311359       48.770526
0.250       2.6389378       54.814487       51.033234
0.250       2.7017697       52.130425       52.084260
0.250       2.7646015       51.888128       55.543839
0.250       2.8274334       50.010820       57.267916
0.250       2.8902652       47.713186       58.360872
0.250       2.9530971       47.230374       61.620445
0.250       3.0159289       45.494739       63.225861
0.250       3.0787608       43.229100       63.910807
0.250       3.1415927       42.251753       66.368899
0.250       3.2044245       40.513042       67.532876
0.250       3.2672564       39.090767       69.070736
0.250       3.3300882       38.303572       71.659992
0.250       3.3929201       36.773214       72.765034
0.250       3.4557519       36.302963       75.899690
0.250       3.5185838       34.889331       76.995720
0.250       3.5814156       33.896185       78.883333
0.250       3.6442475       32.681805       80.130873
0.250       3.7070793       32.247653       83.226955
0.250       3.7699112       31.026285       84.215765
0.250       3.8327430       30.105988       85.872135
0.250       3.8955749       29.535826       88.457376
0.250       3.9584067       28.888149       90.771860
0.250       4.0212386       28.129127       92.662931
0.250       4.1469023       26.197177       94.644672
0.250       4.2725660       25.445869       100.54348
0.250       4.3982297       24.408956       105.20907
0.250       4.5238934       22.788163       106.88498
0.250       4.6495571       21.718555       110.59511
0.250       4.7752208       20.878180       115.17104
0.250       4.9008845       20.024755       119.41555
0.250       5.0265482       19.066163       122.67135
0.250       5.1522120       17.863572       123.77123
0.250       5.2778757       17.201762       128.12110
0.250       5.4035394       16.504376       131.91808
0.250       5.5292031       15.938310       136.48978
0.250       5.6548668       15.084681       138.18901
0.250       5.7805305       14.370829       140.62261
0.250       5.9061942       13.973275       145.84503
0.250       6.0318579       13.475553       149.82013
0.250       6.1575216       12.788708       151.25675
0.250       6.2831853       12.345815       155.14208
0.250       6.4088490       11.778292       157.06980
0.250       6.5345127       11.478925       162.25986
0.250       6.6601764       11.107498       166.24313
0.250       6.7858401       10.789564       170.79888
0.250       6.9115038       10.398504       173.92371
0.250       7.0371675       10.130977       178.86085
0.250       7.1628313       9.6371508       179.42092
0.250       7.2884950       9.3686757       183.76468
0.250       7.4141587       9.1592594       189.11076
0.250       7.5398224       8.7775984       190.60281
0.250       7.6654861       8.5605747       195.34049
0.250       7.7911498       8.2564945       197.82019
0.250       7.9168135       7.9811578       200.62608
0.250       8.0424772       7.8731000       207.48444
0.250       8.2938046       7.2541708       209.66186
0.250       8.5451320       7.0812718       223.84008
0.250       8.7964594       6.6541052       229.44766
0.250       9.0477868       6.2556645       234.73118
